block_number,tx_hash,log_index,stakeholder,collateralToken,parentCollectionId,conditionId,partition,amount
74990008,0x9ea5f5631b35d53a61d5bb37eddf0b14a93da251854d6131c6a7665119edd9b6,503,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xb77636e216631f195c54a7649b428a3ebe64c655421c3212e6001a93548b3a4b,"[1, 2]",30000000
74990010,0x868d90b5f00b28737f80452a50147da3bed152d3cbdc29a6d3e9331844501ec8,296,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",3529406
74990010,0xb74105ce43baf019be86744772005d208966e53185871174a3df4d35624e4d15,321,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",10000000
74990010,0x0fa66317ccd50d100332884a4be3104874938e7315893c77b845709b97cf5f0a,344,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xd8ce35197533cbb402ebb72232069c1fb2d17a690868fbed40c875d285d84776,"[1, 2]",591890000
74990011,0x0f7d21180ab2d827857da2f1828d91f559ee7fec5c3ae3b7227478edd8191d74,513,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xd8ce35197533cbb402ebb72232069c1fb2d17a690868fbed40c875d285d84776,"[1, 2]",118500000
74990014,0x7e2785584c84a0e62d1fabc77950b2d77b6b0d131ef3508d306f0ad64c7c51f9,422,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x60c938cc831ca422c0bb0dd7b3cee13fd100c72db54c32306977c00b6363b828,"[1, 2]",50000000
74990016,0xa40f067c3114a68b8680a2c45e637594af49d9c35c3e3e496b233f2853fbeb21,841,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x1073cc3483263763397b853cb095ac8451f7e26b5a94231b5973c14bf6e7a95a,"[1, 2]",1506664
74990016,0xcf96452adce5431aeba30770627b87940374b71b29c0f4a6c68ccced45a889cf,881,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xecc4a69bddf770ff48302135a633a1b2127fd39246379be6ccff121eab5b52fc,"[1, 2]",5171700
74990018,0x9d308f328fba149ee61cefbf1c5bea418618d07a48e7c7314821e8ed2f719a5a,341,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x2ce6510e18a646e35d77c22570cf628a2bed9dbc2e6ab0d87f1df1dc4e6181c7,"[1, 2]",31250000
74990019,0x76a8e7c654c6bf1500ed9c4283bf9b9a22e07fc8e22b52517b0782b57c81e379,499,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x02deb9538f5c123373adaa4ee6217b01745f1662bc902e46ac92f3fe6f8741e8,"[1, 2]",144927535
74990020,0x5e12d1ecd832b0b94f6ea78d2d09c589072b2c174529ab5f93a231540f95f382,521,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf59780b2d983f7323e570a953b9e42bbe38f7cce41a38b76354680a83acf7e57,"[1, 2]",5000000
74990020,0x227cb26ed3d18895225e8ecf73afef2aec80ca935a95fa6235a7b11a6fd15aab,539,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x331830f91506d3f364c07588c9ae1891291a5fcecbc018e64ce1d6c46969c56f,"[1, 2]",66298336
74990021,0xbec9362fffb9ef25ce0412d922613e3b52c8432050108986fdb2ebe71b3cf6d0,445,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xb06c440336024093b171c7e3059a6129ca497c1f12ad9f17b682f81691e58427,"[1, 2]",87400000
74990021,0xbec9362fffb9ef25ce0412d922613e3b52c8432050108986fdb2ebe71b3cf6d0,453,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xb06c440336024093b171c7e3059a6129ca497c1f12ad9f17b682f81691e58427,"[1, 2]",600000000
74990021,0xbec9362fffb9ef25ce0412d922613e3b52c8432050108986fdb2ebe71b3cf6d0,461,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xb06c440336024093b171c7e3059a6129ca497c1f12ad9f17b682f81691e58427,"[1, 2]",60000000
74990021,0xbec9362fffb9ef25ce0412d922613e3b52c8432050108986fdb2ebe71b3cf6d0,469,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xb06c440336024093b171c7e3059a6129ca497c1f12ad9f17b682f81691e58427,"[1, 2]",25710000
74990021,0x78d42c37871229403115e63ad44f1e259901bdc00d5f49d208e780e38d2dbfee,483,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf59780b2d983f7323e570a953b9e42bbe38f7cce41a38b76354680a83acf7e57,"[1, 2]",48000000
74990023,0x6d98baa7418d14d2729849970187e2a2cf3556bb3e7345199b238ea032b89278,602,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x54eea1eca602d7e38833156b0487419567ae205910a0371708f414f846c5984e,"[1, 2]",30303029
74990023,0xa915ac72427a4a6972fe845b38162b1cf5dafa8158ac99df8ae38cf550d6cb64,616,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x8130c834a3dd64608a73e27033972012422a7e56311fc1bacf3865ed40f89857,"[1, 2]",50380000
74990023,0x5ea7d42507faf276748a5154cf997c40e23dc2c1173abc811948326a08391003,634,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xb5651902f679d2307323444dbbfe9b73363bcf2f9225474ec07a1c3e5c541575,"[1, 2]",12000000
74990025,0x4e5be982abdc749921377594e72e1d2740916073d52c08d9f39abe72a3d17a9d,355,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x60c938cc831ca422c0bb0dd7b3cee13fd100c72db54c32306977c00b6363b828,"[1, 2]",495000000
74990026,0x74d6aa56d9195d9d973be981d26f6155ce2be89f155ceee7eba07ed274821845,802,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xea7fd8b8f32e60b576cf0523c98030008b27b889dc6696e665e39a4a8f1a2f52,"[1, 2]",7142856
74990026,0x23aaa12a013f372fb8e201a0983e0fae44fd4e42d4476e94be741aefde092714,820,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xb77636e216631f195c54a7649b428a3ebe64c655421c3212e6001a93548b3a4b,"[1, 2]",55790000
74990026,0x34546fbb3b06dbafa547a40eebc1b4bca653536f85baa651eddb5b0d34ede7a4,845,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xd8ce35197533cbb402ebb72232069c1fb2d17a690868fbed40c875d285d84776,"[1, 2]",2000000000
74990029,0x33f83f2cca3f2a7813c925fb9868fde9dceda29d4aade43d79e8eca1aff6f927,445,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x42ef427d3b65855d71b0ad74a7cd6ec354b8fa0dc8e29a02562197459be976e1,"[1, 2]",1036257
74990029,0x850de17b019870f3ba877fc339ee3afdd25f3cc984a7a4038c13db9e9ff7bc49,461,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x6f0b4d1460bc5c4c4cc0a963275df2a9974bda8fe650f784ce74c4a42070c64e,"[1, 2]",35000000
74990030,0xdc2d121ee508144ea1a1526fb3714c89ba722d2f61839593de9a69d87400c939,630,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x0b7d92d53fedce57d1691775dc470055bdebe408f66d04fb1087ea49b52467e2,"[1, 2]",2000000000
74990030,0x5efe04da4a68a9de5972a86519a1d55c7923a7b16c79d3c4f971b321dc49a9dd,648,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x3270e517eacbf3efa95fa0d5d8b5aaca50dbaa0ed1ca00fa91d0406320dafbc9,"[1, 2]",10000000
74990030,0x5efe04da4a68a9de5972a86519a1d55c7923a7b16c79d3c4f971b321dc49a9dd,662,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x3270e517eacbf3efa95fa0d5d8b5aaca50dbaa0ed1ca00fa91d0406320dafbc9,"[1, 2]",516315788
74990030,0x6aa62d1687f057b9dccecc82a7c6873a3dcae455a9338eba17cb4d98aa3546d1,678,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xea7fd8b8f32e60b576cf0523c98030008b27b889dc6696e665e39a4a8f1a2f52,"[1, 2]",2380950
74990030,0xc3977d27eb997db5fd89d3d141482a9bd79a7ec5226d12a5aeec4d000439b9f4,696,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xa2a2894232d35611074eacfe35235f2bce1014e018ab732fbe130217292df506,"[1, 2]",3846152
74990032,0xbc3df75594066bcc7c478f2b0972271eeafafcde395e28a69000ad47ef11050c,1227,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x61d62c121ea0dbbd37615a1cdf56d073dde0f23d0854c80fe31faae7dcf3e5cc,"[1, 2]",1034121
74990032,0xba14161bc65e67c993f844a88c46980e1ee1d582b997c5d4ef12e5764742a09c,1247,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xb5651902f679d2307323444dbbfe9b73363bcf2f9225474ec07a1c3e5c541575,"[1, 2]",13000000
74990037,0x07c4d45d6ef22179c007bca6a6e15d780ec254528137ed70e43349f279881700,586,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",10229884
74990037,0xa304d4d44ae7396b145677715ded9689719c39b4866e4fdfab105f22cb34c7e1,600,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",10229884
74990037,0xd3b71e0b142a07eb0a90fc294e7a45a533f38231d64c0b8d8288f5b9761dad73,614,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",19384614
74990037,0xa09f20dc859077664eac1f343f38573aa30798ef4cb54fa18d7bb239194c89e9,628,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",132800000
74990037,0xa09f20dc859077664eac1f343f38573aa30798ef4cb54fa18d7bb239194c89e9,636,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xf668b1c8e01f8cc93fa0e7c5ba2e4b1d5e2b30749e5796a3a8b308412a54e3de,"[1, 2]",8000000
74990040,0xaa71f46b6281123254fc0e09092a1295e85f84de94f1d916b97874299a0a1e1b,541,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x6c3d5fba5442f3e725eb89b7cffcc341ca3105cddaac09c1e4bc8e7010f0fe40,"[1, 2]",1069507
74990040,0xb0752bc0a513c55d82b8500e2c6aa0b70eae2764c5f524802493120c3415deff,557,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x38c7c119ad395bf3d0a4fe64eea08f0d5b06897af583e7be53e84cbb9166945f,"[1, 2]",124070000
74990040,0xb0752bc0a513c55d82b8500e2c6aa0b70eae2764c5f524802493120c3415deff,565,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x38c7c119ad395bf3d0a4fe64eea08f0d5b06897af583e7be53e84cbb9166945f,"[1, 2]",5000000
74990040,0xb0752bc0a513c55d82b8500e2c6aa0b70eae2764c5f524802493120c3415deff,573,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x38c7c119ad395bf3d0a4fe64eea08f0d5b06897af583e7be53e84cbb9166945f,"[1, 2]",5000000
74990040,0xb0752bc0a513c55d82b8500e2c6aa0b70eae2764c5f524802493120c3415deff,581,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x38c7c119ad395bf3d0a4fe64eea08f0d5b06897af583e7be53e84cbb9166945f,"[1, 2]",24000000
74990040,0xb0752bc0a513c55d82b8500e2c6aa0b70eae2764c5f524802493120c3415deff,589,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x38c7c119ad395bf3d0a4fe64eea08f0d5b06897af583e7be53e84cbb9166945f,"[1, 2]",18930000
74990041,0x921479178dfd6251f71b6b6fd389daa3e23487e027e27ff06465f1f4b281c7e7,419,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x54eea1eca602d7e38833156b0487419567ae205910a0371708f414f846c5984e,"[1, 2]",40000000
74990041,0x921479178dfd6251f71b6b6fd389daa3e23487e027e27ff06465f1f4b281c7e7,427,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x54eea1eca602d7e38833156b0487419567ae205910a0371708f414f846c5984e,"[1, 2]",40000000
74990042,0x41c8ea8fd21e403475c4fa8d60ee1eb83bec2a2c3f88d31deba2eba8a53e961d,370,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x656c4e16da2fee857f9b9c49a2a04821134a767fd69657490b16a923ecd64007,"[1, 2]",111000000
74990042,0x41c8ea8fd21e403475c4fa8d60ee1eb83bec2a2c3f88d31deba2eba8a53e961d,381,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x656c4e16da2fee857f9b9c49a2a04821134a767fd69657490b16a923ecd64007,"[1, 2]",111000000
74990042,0x41c8ea8fd21e403475c4fa8d60ee1eb83bec2a2c3f88d31deba2eba8a53e961d,389,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x656c4e16da2fee857f9b9c49a2a04821134a767fd69657490b16a923ecd64007,"[1, 2]",208928110
74990043,0x562ec57fff6c720de35eb59d7cafe7d1741499efc8b7d2a1b0c11203179df5c3,276,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0x5ba4e44de7bb7c3ba55f8f4435ff08e27efa0d041612fa32cf3af1a0927a7aaf,"[1, 2]",10000000
74990044,0x40a18cc0ed9fa574e49dc5f7945609bc55c9d490a972fac5d71473885bf82d7b,427,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x9480f18b5e47f42a1c5326f8a96f3e98a48b58e6a15be530932db9a5a5424167,"[1, 2]",20000000
74990045,0x2e1dbc437f7b4acc9201343d8df798582574f686fc24021b475023912c347d2f,1358,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x3a3bd7bb9528e159577f7c2e685cc81a765002e2,0x0000000000000000000000000000000000000000000000000000000000000000,0xe8d095422da9f6c3ceed727a4b6251177f618b002d2a698bfccb48716c7aa469,"[1, 2]",1005000
74990048,0xea5a239da2dc098210030f337196c01fb93a4412b8d32aacefcc19236faba419,580,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xeb03251626f9116f2643a8a2134f44715b57e20d2806fec3654ca03e50ed8ae1,"[1, 2]",116030000
74990048,0xea5a239da2dc098210030f337196c01fb93a4412b8d32aacefcc19236faba419,588,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xeb03251626f9116f2643a8a2134f44715b57e20d2806fec3654ca03e50ed8ae1,"[1, 2]",5000000
74990048,0xea5a239da2dc098210030f337196c01fb93a4412b8d32aacefcc19236faba419,596,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xeb03251626f9116f2643a8a2134f44715b57e20d2806fec3654ca03e50ed8ae1,"[1, 2]",5000000
74990048,0xea5a239da2dc098210030f337196c01fb93a4412b8d32aacefcc19236faba419,604,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xeb03251626f9116f2643a8a2134f44715b57e20d2806fec3654ca03e50ed8ae1,"[1, 2]",24000000
74990048,0xea5a239da2dc098210030f337196c01fb93a4412b8d32aacefcc19236faba419,612,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xeb03251626f9116f2643a8a2134f44715b57e20d2806fec3654ca03e50ed8ae1,"[1, 2]",192970000
74990049,0x3eaaf03eed588993d7e09b0da26b8428949506fdf5066b952613068aaf987011,371,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x7858f5ac0c7174ca1958f98da18d8b51400cf9d781b0cc9a1c9c8367b898fb6b,"[1, 2]",100000000
74990049,0x3eaaf03eed588993d7e09b0da26b8428949506fdf5066b952613068aaf987011,382,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0x7858f5ac0c7174ca1958f98da18d8b51400cf9d781b0cc9a1c9c8367b898fb6b,"[1, 2]",110000000
74990049,0x225d4a932e1be1ed8882b4bc357f87594ebbd57a9bc10995d8d739b22bdf8391,396,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0000000000000000000000000000000000000000000000000000000000000000,0xeb03251626f9116f2643a8a2134f44715b57e20d2806fec3654ca03e50ed8ae1,"[1, 2]",6000000
